epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,790.12,1.21408,1.69744,1.35851,0.43691,0.62392,0.55841,0.42394,1.02015,1.5499,1.3678,0.0278467,0.00928225,0.0278467,0.00928225,0.0278467,0.00928225,0.0278467,0.00928225
31,814.42,1.19404,1.68763,1.343,0.49939,0.62966,0.58795,0.45053,0.9958,1.45232,1.3367,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
32,838.626,1.207,1.70746,1.34941,0.53778,0.51831,0.54589,0.4143,1.00016,1.50852,1.35438,0.0276982,0.00923275,0.0276982,0.00923275,0.0276982,0.00923275,0.0276982,0.00923275
33,862.646,1.19527,1.63664,1.3462,0.48592,0.59841,0.58327,0.4498,0.97932,1.47402,1.33231,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
34,886.675,1.20074,1.66137,1.34406,0.43039,0.65085,0.55756,0.43188,0.99005,1.5092,1.34733,0.0275497,0.00918325,0.0275497,0.00918325,0.0275497,0.00918325,0.0275497,0.00918325
35,910.68,1.19979,1.62696,1.33939,0.48895,0.58857,0.55539,0.42812,1.00151,1.48106,1.36274,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
36,934.801,1.18551,1.61121,1.33771,0.49789,0.59197,0.56224,0.42816,0.99296,1.49684,1.33745,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
37,958.757,1.19454,1.59685,1.3347,0.49753,0.56948,0.53318,0.41095,1.00293,1.53536,1.34626,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
38,982.812,1.17375,1.55737,1.33092,0.52446,0.62096,0.60858,0.46589,0.9682,1.40377,1.31467,0.0272527,0.00908425,0.0272527,0.00908425,0.0272527,0.00908425,0.0272527,0.00908425
39,1006.81,1.1744,1.5632,1.31876,0.52049,0.58479,0.59273,0.4587,0.96993,1.41059,1.30411,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
40,1030.79,1.17102,1.54815,1.31776,0.51882,0.58263,0.59421,0.45797,0.98536,1.50049,1.33387,0.0271042,0.00903475,0.0271042,0.00903475,0.0271042,0.00903475,0.0271042,0.00903475
41,1054.82,1.16978,1.54031,1.3185,0.57211,0.57175,0.5544,0.42448,0.97607,1.52565,1.32646,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
42,1078.81,1.16868,1.52327,1.32135,0.53595,0.6392,0.6289,0.48633,0.97383,1.35371,1.32936,0.0269558,0.00898525,0.0269558,0.00898525,0.0269558,0.00898525,0.0269558,0.00898525
43,1104.07,1.17299,1.53552,1.327,0.51188,0.6403,0.60844,0.4661,0.99265,1.37158,1.32401,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
44,1128.12,1.15151,1.4963,1.31149,0.53013,0.57852,0.58792,0.45003,0.98643,1.45394,1.31878,0.0268072,0.00893575,0.0268072,0.00893575,0.0268072,0.00893575,0.0268072,0.00893575
45,1152.01,1.16099,1.48803,1.31045,0.59294,0.5777,0.58866,0.45517,0.99394,1.5149,1.33439,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
46,1176.03,1.16074,1.46036,1.30974,0.51581,0.61959,0.58461,0.45362,0.98292,1.48395,1.3304,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
47,1199.94,1.14789,1.43941,1.30058,0.47073,0.65952,0.59172,0.45357,0.97377,1.43928,1.31142,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
48,1223.89,1.15673,1.47234,1.31135,0.56076,0.5853,0.60973,0.46303,0.96953,1.40113,1.31166,0.0265103,0.00883675,0.0265103,0.00883675,0.0265103,0.00883675,0.0265103,0.00883675
49,1247.89,1.14133,1.43979,1.30275,0.51448,0.60114,0.58647,0.45646,0.96643,1.50066,1.31974,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
50,1271.86,1.12848,1.42103,1.29447,0.64354,0.57995,0.63115,0.49126,0.95541,1.33109,1.31805,0.0263617,0.00878725,0.0263617,0.00878725,0.0263617,0.00878725,0.0263617,0.00878725
51,1295.82,1.14339,1.40139,1.30002,0.52316,0.59863,0.58873,0.45001,0.95825,1.43632,1.30675,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
52,1319.9,1.14543,1.40063,1.30013,0.56,0.63782,0.62258,0.48127,0.95765,1.37932,1.30964,0.0262133,0.00873775,0.0262133,0.00873775,0.0262133,0.00873775,0.0262133,0.00873775
53,1344.01,1.13393,1.3854,1.28958,0.4883,0.64857,0.60937,0.46656,0.96123,1.40432,1.31108,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
54,1367.94,1.13845,1.39918,1.30673,0.5368,0.59548,0.58846,0.44141,0.97278,1.44939,1.32208,0.0260647,0.00868825,0.0260647,0.00868825,0.0260647,0.00868825,0.0260647,0.00868825
55,1392,1.13553,1.3633,1.29292,0.55985,0.65363,0.64629,0.48741,0.97704,1.3151,1.33047,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
56,1415.62,1.12434,1.3483,1.28896,0.63685,0.5763,0.6214,0.47073,0.95443,1.35253,1.30159,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
57,1439.4,1.12848,1.3387,1.29049,0.53646,0.62451,0.62388,0.48208,0.95962,1.39123,1.32544,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
58,1463.09,1.1202,1.34173,1.28355,0.53921,0.63021,0.62764,0.48123,0.96957,1.37027,1.31431,0.0257677,0.00858925,0.0257677,0.00858925,0.0257677,0.00858925,0.0257677,0.00858925
59,1486.6,1.12146,1.35814,1.29116,0.54561,0.65486,0.64839,0.49441,0.95264,1.33368,1.30406,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
60,1510.41,1.10709,1.32672,1.27384,0.5361,0.63818,0.62615,0.47321,0.96173,1.37958,1.31797,0.0256192,0.00853975,0.0256192,0.00853975,0.0256192,0.00853975,0.0256192,0.00853975
61,1534.82,1.11054,1.32805,1.28137,0.59567,0.58998,0.62303,0.47297,0.97325,1.37713,1.31941,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
62,1558.76,1.10955,1.32367,1.28193,0.60193,0.61975,0.65278,0.5028,0.95719,1.326,1.30683,0.0254708,0.00849025,0.0254708,0.00849025,0.0254708,0.00849025,0.0254708,0.00849025
